species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Gobi two spot fuse,barenape goby,Fusigobius duospilus,Gobi two spot fuse; barenape goby; Fusigobius duospilus; barenape goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",NON HIAS,
Gobi triplesppot,triplespot goby,Oplopomus caninoides,Gobi triplesppot; triplespot goby; Oplopomus caninoides; triplespot goby fish,50,LOW,Gobi,LAUT,HIAS,
Gobi taileye,taileyed goby,Parachaeturichthys polynema,Gobi taileye; taileyed goby; Parachaeturichthys polynema; taileyed goby fish,50,LOW,Gobi,LAUT,NON HIAS,
Gobi stripecheek,concave goby,Glossogobius concavifrons,Gobi stripecheek; concave goby; Glossogobius concavifrons; concave goby fish,50,LOW,Gobi,TAWAR,NON HIAS,
Gobi spotfin shrimp,gold-specked prawn-goby,Ctenogobiops pomastictus,Gobi spotfin shrimp; gold-specked prawn-goby; Ctenogobiops pomastictus; gold-specked prawn-goby fish,50,LOW,Gobi,LAUT,NON HIAS,
Gobi sleepy,sleepy goby,Psammogobius biocellatus,Gobi sleepy; sleepy goby; Psammogobius biocellatus; sleepy goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",NON HIAS,mollon
Gobi silhoutte,phantom goby,Silhouettea insinuans,Gobi silhoutte; phantom goby; Silhouettea insinuans; phantom goby fish,50,LOW,Gobi,"LAUT, PAYAU",NON HIAS,
Gobi shouldermark dwarf,shouldermark dwarfgoby,Eviota infulata,Gobi shouldermark dwarf; shouldermark dwarfgoby; Eviota infulata; shouldermark dwarfgoby fish,50,LOW,Gobi,LAUT,HIAS,
Gobi ungu,violet goby,Gobioides broussonnetii,Gobi ungu; violet goby; Gobioides broussonnetii; violet goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",HIAS,
Jabingan steni,steinitz' prawn goby,Amblyeleotris steinitzi,Jabingan steni; steinitz' prawn goby; Amblyeleotris steinitzi; steinitz' prawn goby fish,50,LOW,Gobi,"LAUT, PAYAU, TAWAR",HIAS,
Jangki,yellowstriped whiptail,Pentapodus aureofasciatus,Jangki; yellowstriped whiptail; Pentapodus aureofasciatus; yellowstriped whiptail fish,50,LOW,Renbow,LAUT,NON HIAS,
Janss' pipefish,janss' pipefish,Doryrhamphus janssi,Janss' pipefish; janss' pipefish; Doryrhamphus janssi,50,LOW,Pipefish,LAUT,NON HIAS,
Keong macan,spiral babylon snail,Babylonia spirata,Keong macan; spiral babylon snail; Babylonia spirata; spiral babylon snail fish,50,LOW,Keong,"LAUT, PAYAU",NON HIAS,keong macan
Keong loncat strombus,strombus stalk eye snail,Strombus gibberulus,Keong loncat strombus; strombus stalk eye snail; Strombus gibberulus; strombus stalk eye snail fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",NON HIAS,
Keong kendi kecil,little pitcher conch,Strombus urceus,Keong kendi kecil; little pitcher conch; Strombus urceus; little pitcher conch fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Kenyar,sripped bonito,Sarda orientalis,Kenyar; sripped bonito; Sarda orientalis; sripped bonito fish,50,LOW,Tongkol,LAUT,NON HIAS,bonito
Kendia,unknown,Thynnichtys vaillanti,Kendia; unknown; Thynnichtys vaillanti; unknown fish,50,LOW,Minnow,"LAUT, PAYAU, TAWAR","HIAS, NON HIAS",kendia
Kemprit,banded ilisha,Ilisha striatula,Kemprit; banded ilisha; Ilisha striatula; banded ilisha fish,50,LOW,Sarden,LAUT,NON HIAS,
Kembung perempuan,short mackerel,Rastrelliger brachysoma,Kembung perempuan; short mackerel; Rastrelliger brachysoma; short mackerel fish,50,LOW,Kembung,LAUT,NON HIAS,au-au; kembung satai; kembung perempuan; rumah-rumah
Kembung lelaki,indian mackerel,Rastrelliger kanagurta,Kembung lelaki; indian mackerel; Rastrelliger kanagurta; indian mackerel fish,50,LOW,Kembung,"LAUT, PAYAU",NON HIAS,banjar
Keong mas,channeled applesnail,Pomacea canaliculata,Keong mas; channeled applesnail; Pomacea canaliculata; channeled applesnail fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Kembung,island mackerel,Rastrelliger faughni,Kembung; island mackerel; Rastrelliger faughni; island mackerel fish,50,LOW,Kembung,"LAUT, PAYAU",NON HIAS,
Kelomang indo,indo hermit crab,Coenobita brevimanus,Kelomang indo; indo hermit crab; Coenobita brevimanus; indo hermit crab fish,50,LOW,Kepiting,"LAUT, TERESTERIAL",HIAS,omang-omang
Kelomang darat,land hermit crab,Coenobita cavipes,Kelomang darat; land hermit crab; Coenobita cavipes; land hermit crab fish,50,LOW,Kelomang,"LAUT, TERESTERIAL",HIAS,omang-omang
Kelomang coklat,land hermit crab,Coenobita cavipes,Kelomang coklat; land hermit crab; Coenobita cavipes; land hermit crab fish,50,LOW,Kelomang,"LAUT, TERESTERIAL",HIAS,omang-omang
