id,id_ikan,id_komoditas,kode_genus,kode_species,fao_3a_code,fao_taxocode,foto1_filename,foto2_filename,nama_latin,nama_sinonim_latin,nama_umum,nama_inggris,nama_daerah,kelompok_besar,id_kelompok_besar,kelompok_indonesia,kode_kelompok_indonesia,id_kelompok_indonesia,kelompok_inggris,kode_kelompok_inggris,id_kelompok_inggris,kelompok_latin,kode_kelompok_latin,id_kelompok_latin,nama_kelompok_sdi,id_kelompok_sdi,nama_jenis_ikan,id_jenis_ikan,iucn_red_list,jenis_perairan,id_jenis_perairan,jenis_hias,id_jenis_hias,jenis_konsumsi,id_jenis_konsumsi,jenis_pemanfaatan,id_jenis_pemanfaatan,jenis_dilindungi,id_jenis_dilindungi,ket_dilindungi,jenis_dilarang,id_jenis_dilarang,ket_dilarang,status_ikan,id_status_ikan,status_komoditas,id_status_komoditas,source_data,sys_created_date,sys_updated_date,created_at,updated_at
1156,"010401030301EPIFUS01417",I010401030301EPIFUS0141701299,Epinephelus,fuscoguttatus,EWF,1700204274,http://md.kkp.go.id/upload/ikan/d177fa3678008f2950900feb453a261d.jpg,,Epinephelus fuscoguttatus,,Kerapu macan,"tiger grouper; blotch grouper; blotchy rockcod; black-tipped cod; blotchy grouper; brown-marbled grouper; flower cod; flowery cod; marble grouper","kerapu marmer; kerapu; kerapu macan; kiapu tiger; kiapu tongal; okke",ikan karang,79,Kerapu,KERP,91,Grouper,GROU,68,Epinephelus,EPIN,304,Ikan Karang,4,Pisces (ikan bersirip),1,"Vulnerable (VU, Rentan); date assessed 20 November 2016",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1157,"010401030301EPIINS01433",I010401030301EPIINS0143301298,Epibulus,insidiator,EBI,1706301501,http://md.kkp.go.id/upload/ikan/c7528d98c22ba61123ca7d6fcbd56efc.png,,Epibulus insidiator,,Wrasse slingjaw,slingjaw wrasse,"bayeman; kenari kuning",ikan karang,79,Bayeman,BAYE,16,Wrasse,WRAS,206,Epibulus,EPIB,302,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 12 July 2008)",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1158,"010401030301EPIMER01406",I010401030301EPIMER0140601302,Epinephelus,merra,EER,1700204211,http://md.kkp.go.id/upload/ikan/2a68b83d599b1ca945b67c3304fce3a0.jpg,,Epinephelus merra,,Kerapu balong,"wire-netting cod; wirenetting cod; dwarf-spotted rockcod; dwarf spotted grouper; honeycomb grouper; honeycomb sea bass; honeycombe grouper; honeycomb rockcod; honeycomb cod; honeycomb rock-codÂ","entai; geurape musang; kerapu; kerapu musang; kerapu karet",ikan karang,79,Kerapu,KERP,91,Grouper,GROU,68,Epinephelus,EPIN,304,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 17 January 2017)",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1159,"010401030301EVIINF01356",I010401030301EVIINF0135601300,Eviota,infulata,,,,,Eviota infulata,"Eviotops infulatus;Eviota infulatus",Gobi shouldermark dwarf,shouldermark dwarfgoby,,ikan karang,79,Gobi,GOBI,59,Goby,GOBY,65,Eviota,EVIO,325,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1160,"010401030301EXYBEL01354",I010401030301EXYBEL0135401301,Exyrias,belissimus,EXE,1732111501,http://md.kkp.go.id/upload/ikan/fc812b57374b22c962f46ebd6f359d26.4.jpg,,Exyrias belissimus,"Acentrogobius belissimus;Acentrogobius bellisimus;Acentrogobius bellissimus;Exyrias bellissimus;Exyrius belissimus",Jabingan kepala besar,mud reef-goby,,ikan karang,79,Gobi,GOBI,59,Goby,GOBY,65,Exyrias,EXYR,326,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1161,"010401030301HALCHR01271",I010401030301HALCHR0127101303,Halichoeres,chrysus,,,,,Halichoeres chrysus,Halichoeres sp.,Keling kuning,canary wrasse,,ikan karang,79,Wrase,WRAS,219,Wrasse,WRAS,206,Halichoeres,HALC,371,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1162,"010401030301HALTIM01269",I010401030301HALTIM0126901304,Halichoeres,timorensis,,,,,Halichoeres timorensis,,Wrasse timor,timor wrasse,,ikan karang,79,Bayeman,BAYE,16,Wrasse,WRAS,206,Halichoeres,HALC,371,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 12 June 2008)",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1163,"010401030301HENVAR01221",I010401030301HENVAR0122101305,Heniochus,varius,,,http://md.kkp.go.id/upload/ikan/ad522dcece71b51d2c262379093e9e27.png,,Heniochus varius,"Taurichthys varius; Taurichthys viridis; Taurichthys bleekeri",Lencang kuning,humphead bannerfish,"kambingan; ikan bendera",ikan karang,79,Kepe-kepe,KEPE,88,Butterflyfish,BUTT,25,Heniochus,HENI,395,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1164,"010401030301HIPLON01191",I010401030301HIPLON0119101306,Hipposcarus,longiceps,HJZ,1706543402,http://md.kkp.go.id/upload/ikan/cc2f5b99128b125b3f840ea639341ae1.9.jpg,,Hipposcarus longiceps,,Kakatua,"pacific longnose parrotfish; long-nosed parrotfishÂ","anglu; kleng; lembain",ikan karang,79,Kakatua,KAKT,81,Parrotfish,PARR,103,Hipposcarus,HIPS,410,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 16 September 2009)",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1165,"010401030301HOPFRO01170",I010401030301HOPFRO0117001307,Hoplolatilus,fronticinctus,,,,,Hoplolatilus fronticinctus,Latilus fronticinctus,Tilefish makasar,stocky tilefish,,ikan karang,79,Tilefish,TILE,208,Tilefish,TILE,179,Hoplolatilus,HOPO,417,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
